id,radius1,lambda1,lambda2,convexity,sphericity,varCurv,intCurv,b1,b2,muK,IK2,varK
3030,2.9337666561e-01,3.6752523382e-01,3.4474830801e-01,9.7191857028e-01,9.7116248471e-01,4.5417162667e-02,1.1827812858e+01,3.7260000000e-01,3.2660000000e-01,2.8151692422e+00,1.2347529308e-01,4.4270015699e-01
3031,1.4795602552e-01,3.4597114969e-01,3.3185277304e-01,9.9968090492e-01,1.0000000000e+00,1.8050631449e-03,1.2300513613e+01,3.4760000000e-01,3.3210000000e-01,2.0584882493e+00,5.1142910873e-02,1.0373143340e-01
3032,9.0636524312e-02,3.6096243840e-01,3.2663579620e-01,9.9937864495e-01,1.0000000000e+00,5.2049629899e-03,1.0349756050e+01,3.5530000000e-01,3.3810000000e-01,2.2806285435e+00,6.8177679496e-02,1.4877430262e-01
3033,-5.6578544785e-02,4.4384417996e-01,4.3717896380e-01,7.9142981296e-01,7.7349326945e-01,9.2065900583e-02,1.4696131930e+01,5.0720000000e-01,2.5070000000e-01,2.9819818862e+00,1.4150165761e-01,8.0569979471e-01
3034,2.2421076939e-01,3.7727984718e-01,3.4615364054e-01,9.9869144245e-01,9.9681336794e-01,3.9200623989e-03,1.1055786471e+01,3.9330000000e-01,3.1990000000e-01,2.2673942952e+00,7.9247345307e-02,1.4768747736e-01
3035,-2.8702694930e-01,3.9270902703e-01,3.5805084404e-01,9.9700421374e-01,9.6781849826e-01,1.1250228150e-02,8.9486059074e+00,4.2220000000e-01,3.0880000000e-01,2.5320958534e+00,8.6280643289e-02,6.8868494143e-01
3036,-1.2180178581e-01,3.8762499730e-01,3.1700360595e-01,9.9901381348e-01,9.9100161341e-01,7.3838861884e-03,9.8410250517e+00,3.7350000000e-01,3.5890000000e-01,2.5198112829e+00,9.9946851746e-02,2.0625528318e-01
3037,-3.1440092739e-01,4.0101735266e-01,3.0507364844e-01,9.9823251181e-01,9.6723352032e-01,2.1128617043e-03,8.0693659291e+00,3.8670000000e-01,3.6120000000e-01,2.5711074725e+00,1.1411996427e-01,4.8786378457e-01
3038,2.5698706293e-01,3.6975373348e-01,3.2948890734e-01,9.9995152276e-01,1.0000000000e+00,2.7799430629e-03,1.1883536926e+01,3.6870000000e-01,3.3430000000e-01,2.0417584736e+00,4.8676834392e-02,2.0045888178e-02
3039,1.0622164392e-02,3.6815986190e-01,3.2883611552e-01,9.9803391684e-01,1.0000000000e+00,3.6067425012e-03,1.0330808372e+01,3.6360000000e-01,3.4440000000e-01,2.6802351148e+00,1.3817671071e-01,4.7904842410e-01
3040,-1.2291299152e-01,3.7521189203e-01,3.4268144979e-01,9.9875367967e-01,1.0000000000e+00,2.5755288313e-03,1.1162631333e+01,3.8460000000e-01,3.2590000000e-01,2.1838883701e+00,8.2500625958e-02,9.7331240188e-02
3041,1.5486766782e-01,3.4022836981e-01,3.3370213332e-01,9.9934140304e-01,1.0000000000e+00,3.9457607744e-03,1.1644462644e+01,3.3900000000e-01,3.3840000000e-01,2.0931335086e+00,5.0008701732e-02,7.1609708972e-02
3042,1.9050666656e-01,3.5596371446e-01,3.3781327915e-01,9.9980190084e-01,1.0000000000e+00,4.5798085167e-03,1.2095166026e+01,3.5980000000e-01,3.3110000000e-01,2.0901665563e+00,5.3381606047e-02,5.8205530733e-02
3043,2.2808304206e-01,3.4794714639e-01,3.3741358736e-01,9.9960787794e-01,1.0000000000e+00,2.4317899519e-03,1.2049029410e+01,3.5030000000e-01,3.3520000000e-01,2.0165571479e+00,3.3203635183e-02,6.4001932134e-03
3044,-6.4009266775e-02,3.8956269586e-01,3.5229310263e-01,9.9737985652e-01,9.7951032377e-01,7.9337160696e-03,9.9520436564e+00,4.0820000000e-01,3.2390000000e-01,2.6301217082e+00,1.3766415014e-01,6.1067503925e-01
3045,3.5604022445e-02,3.7140273281e-01,3.4079978032e-01,9.9935689038e-01,9.9822916866e-01,2.0731820506e-03,1.0078802021e+01,3.8300000000e-01,3.2180000000e-01,2.5693668868e+00,1.0499868081e-01,5.1600048303e-01
3046,-5.6296305537e-01,4.3542204383e-01,3.0043475274e-01,9.9556218633e-01,8.7454401761e-01,8.8954880800e-03,4.4913093539e+00,4.0310000000e-01,3.9770000000e-01,2.9233578867e+00,1.9705351969e-01,3.8473614298e-01
3047,2.8279215105e-01,3.4780969922e-01,3.3675797034e-01,9.9962025111e-01,1.0000000000e+00,1.3481539132e-03,1.2890145487e+01,3.4380000000e-01,3.3720000000e-01,1.9763716844e+00,4.2831939688e-02,0.0000000000e+00
3048,3.0227269843e-01,3.4750206981e-01,3.3343942113e-01,9.9980007508e-01,1.0000000000e+00,1.6620146348e-03,1.2949145180e+01,3.4820000000e-01,3.3190000000e-01,1.9691955367e+00,3.3827084151e-02,0.0000000000e+00
3049,3.7705688691e-02,3.5996315751e-01,3.3507755991e-01,9.9919129254e-01,1.0000000000e+00,5.6767625807e-03,1.0278360640e+01,3.6560000000e-01,3.2750000000e-01,2.6132562187e+00,1.0705906897e-01,7.2986354305e-01
3050,1.0786575973e-01,3.5421433092e-01,3.3624288079e-01,9.9879158113e-01,1.0000000000e+00,1.7220903513e-03,1.2401257916e+01,3.5870000000e-01,3.2340000000e-01,2.2891894705e+00,8.2186319994e-02,2.2811254679e-01
3051,2.9866404936e-01,3.5476934259e-01,3.3328306051e-01,9.6188245449e-01,9.7291717552e-01,3.5590555190e-01,1.2144852950e+01,3.9330000000e-01,3.1260000000e-01,3.0008050301e+00,1.6349116489e-01,8.0980557904e-01
3052,2.3062102503e-01,3.4964886527e-01,3.2809231289e-01,9.9965025584e-01,1.0000000000e+00,1.2520913499e-03,1.1510198970e+01,3.4480000000e-01,3.3370000000e-01,1.9816028307e+00,4.3347230938e-02,0.0000000000e+00
3053,3.0702034437e-01,3.7387605889e-01,3.3236066162e-01,9.9972663389e-01,1.0000000000e+00,4.4325128355e-03,1.2424600941e+01,3.7490000000e-01,3.3740000000e-01,2.0001725727e+00,4.9870980998e-02,1.2075836252e-04
3054,-4.1895237959e-01,4.3174625393e-01,3.4401021485e-01,9.9598032570e-01,8.9916978662e-01,1.1858832715e-02,5.5263708336e+00,4.4810000000e-01,3.4100000000e-01,2.7764896228e+00,1.5268899859e-01,4.2494867770e-01
3055,-4.1909049872e-01,4.2477231643e-01,3.6120513041e-01,9.9523970159e-01,9.0667702356e-01,7.9116206801e-03,5.9067277547e+00,4.5530000000e-01,3.2150000000e-01,2.7355956756e+00,1.5246402550e-01,4.7035382200e-01
3056,1.0418271519e-01,3.5742078619e-01,3.4304350847e-01,9.9929834146e-01,1.0000000000e+00,1.0859158757e-03,1.1963616580e+01,3.6780000000e-01,3.2100000000e-01,2.0902073131e+00,5.0038121916e-02,7.9217485811e-02
